candidate_id,job_id,role,location,source,stage,stage_entered_at,diversity_flag
1,1001,SWE II,Menlo Park,Campus,Applied,2024-05-05,0
2,1001,PM,Austin,LinkedIn,Applied,2024-04-11,1
2,1001,PM,Austin,LinkedIn,Phone Screen,2024-04-15,1
2,1001,PM,Austin,LinkedIn,Hiring Manager,2024-04-21,1
2,1001,PM,Austin,LinkedIn,Onsite,2024-04-23,0
2,1001,PM,Austin,LinkedIn,Offer,2024-04-15,1
3,1001,Data Analyst,Remote,Campus,Applied,2024-04-20,1
4,1001,SWE I,Seattle,LinkedIn,Applied,2024-03-01,1
4,1001,SWE I,Seattle,LinkedIn,Phone Screen,2024-03-04,0
5,1001,SWE I,Seattle,LinkedIn,Applied,2024-05-16,0
5,1001,SWE I,Seattle,LinkedIn,Phone Screen,2024-05-25,1
5,1001,SWE I,Seattle,LinkedIn,Hiring Manager,2024-05-20,1
6,1001,PM,Austin,Career Site,Applied,2024-04-20,1
6,1001,PM,Austin,Career Site,Phone Screen,2024-04-26,1
6,1001,PM,Austin,Career Site,Hiring Manager,2024-05-04,1
6,1001,PM,Austin,Career Site,Onsite,2024-05-17,1
6,1001,PM,Austin,Career Site,Offer,2024-05-30,0
7,1001,SWE II,New York,Career Site,Applied,2024-03-28,1
7,1001,SWE II,New York,Career Site,Phone Screen,2024-04-07,0
7,1001,SWE II,New York,Career Site,Hiring Manager,2024-04-07,0
8,1001,PM,Austin,LinkedIn,Applied,2024-02-26,1
8,1001,PM,Austin,LinkedIn,Phone Screen,2024-03-02,1
8,1001,PM,Austin,LinkedIn,Hiring Manager,2024-03-01,0
8,1001,PM,Austin,LinkedIn,Onsite,2024-03-03,1
9,1001,SWE I,Menlo Park,Agency,Applied,2024-05-25,1
10,1001,SWE II,Remote,Referral,Applied,2024-02-27,0
10,1001,SWE II,Remote,Referral,Phone Screen,2024-03-08,0
11,1001,PM,Menlo Park,Agency,Applied,2024-06-08,0
11,1001,PM,Menlo Park,Agency,Phone Screen,2024-06-09,0
11,1001,PM,Menlo Park,Agency,Hiring Manager,2024-06-22,1
11,1001,PM,Menlo Park,Agency,Onsite,2024-06-14,0
12,1001,SWE II,Remote,Agency,Applied,2024-05-07,1
13,1001,SWE I,Seattle,Career Site,Applied,2024-04-19,1
14,1001,Designer,Austin,LinkedIn,Applied,2024-03-30,1
14,1001,Designer,Austin,LinkedIn,Phone Screen,2024-04-05,0
15,1001,Designer,Seattle,Agency,Applied,2024-06-09,0
15,1001,Designer,Seattle,Agency,Phone Screen,2024-06-18,1
15,1001,Designer,Seattle,Agency,Hiring Manager,2024-06-29,0
15,1001,Designer,Seattle,Agency,Onsite,2024-07-03,1
15,1001,Designer,Seattle,Agency,Offer,2024-07-19,0
16,1001,SWE II,Remote,LinkedIn,Applied,2024-05-04,1
16,1001,SWE II,Remote,LinkedIn,Phone Screen,2024-05-07,1
17,1001,SWE II,Menlo Park,Career Site,Applied,2024-05-12,0
17,1001,SWE II,Menlo Park,Career Site,Phone Screen,2024-05-14,0
17,1001,SWE II,Menlo Park,Career Site,Hiring Manager,2024-05-30,1
18,1001,PM,Menlo Park,Career Site,Applied,2024-03-19,1
18,1001,PM,Menlo Park,Career Site,Phone Screen,2024-03-28,1
18,1001,PM,Menlo Park,Career Site,Hiring Manager,2024-04-08,1
18,1001,PM,Menlo Park,Career Site,Onsite,2024-03-31,1
18,1001,PM,Menlo Park,Career Site,Offer,2024-04-24,1
18,1001,PM,Menlo Park,Career Site,Hired,2024-04-28,0
19,1001,SWE I,New York,LinkedIn,Applied,2024-06-10,0
19,1001,SWE I,New York,LinkedIn,Phone Screen,2024-06-15,1
19,1001,SWE I,New York,LinkedIn,Hiring Manager,2024-06-20,1
19,1001,SWE I,New York,LinkedIn,Onsite,2024-06-19,0
20,1001,Designer,Remote,Referral,Applied,2024-03-14,1
20,1001,Designer,Remote,Referral,Phone Screen,2024-03-23,0
21,1001,SWE II,Seattle,Agency,Applied,2024-05-04,0
22,1001,SWE I,Menlo Park,Referral,Applied,2024-04-14,1
23,1001,PM,Austin,LinkedIn,Applied,2024-06-13,1
24,1001,Designer,Austin,Career Site,Applied,2024-02-27,0
25,1001,SWE II,Austin,Agency,Applied,2024-03-31,0
25,1001,SWE II,Austin,Agency,Phone Screen,2024-04-02,0
25,1001,SWE II,Austin,Agency,Hiring Manager,2024-04-20,1
25,1001,SWE II,Austin,Agency,Onsite,2024-04-21,0
25,1001,SWE II,Austin,Agency,Offer,2024-05-02,1
26,1001,SWE II,Austin,Campus,Applied,2024-03-15,1
26,1001,SWE II,Austin,Campus,Phone Screen,2024-03-20,1
27,1001,Data Analyst,Remote,LinkedIn,Applied,2024-04-28,1
28,1001,Data Analyst,Seattle,Career Site,Applied,2024-05-29,1
28,1001,Data Analyst,Seattle,Career Site,Phone Screen,2024-06-06,1
28,1001,Data Analyst,Seattle,Career Site,Hiring Manager,2024-06-18,0
28,1001,Data Analyst,Seattle,Career Site,Onsite,2024-06-10,0
29,1001,PM,Seattle,Referral,Applied,2024-03-21,1
29,1001,PM,Seattle,Referral,Phone Screen,2024-03-22,0
29,1001,PM,Seattle,Referral,Hiring Manager,2024-03-23,0
30,1001,PM,Austin,LinkedIn,Applied,2024-03-03,1
30,1001,PM,Austin,LinkedIn,Phone Screen,2024-03-05,1
31,1001,SWE I,Remote,Career Site,Applied,2024-03-12,1
31,1001,SWE I,Remote,Career Site,Phone Screen,2024-03-20,1
32,1001,Designer,Austin,Agency,Applied,2024-05-16,1
33,1001,SWE I,Austin,LinkedIn,Applied,2024-04-06,1
33,1001,SWE I,Austin,LinkedIn,Phone Screen,2024-04-14,1
33,1001,SWE I,Austin,LinkedIn,Hiring Manager,2024-04-10,1
33,1001,SWE I,Austin,LinkedIn,Onsite,2024-04-09,1
33,1001,SWE I,Austin,LinkedIn,Offer,2024-05-04,0
34,1001,PM,Austin,Career Site,Applied,2024-05-01,1
34,1001,PM,Austin,Career Site,Phone Screen,2024-05-09,1
34,1001,PM,Austin,Career Site,Hiring Manager,2024-05-21,0
35,1001,PM,Seattle,LinkedIn,Applied,2024-05-10,1
35,1001,PM,Seattle,LinkedIn,Phone Screen,2024-05-15,0
35,1001,PM,Seattle,LinkedIn,Hiring Manager,2024-05-18,1
35,1001,PM,Seattle,LinkedIn,Onsite,2024-05-31,0
36,1001,Designer,Remote,LinkedIn,Applied,2024-05-31,1
36,1001,Designer,Remote,LinkedIn,Phone Screen,2024-06-10,1
36,1001,Designer,Remote,LinkedIn,Hiring Manager,2024-06-20,0
37,1001,Designer,Remote,Referral,Applied,2024-06-15,1
37,1001,Designer,Remote,Referral,Phone Screen,2024-06-24,0
37,1001,Designer,Remote,Referral,Hiring Manager,2024-06-17,0
38,1001,SWE I,New York,LinkedIn,Applied,2024-06-15,1
39,1001,SWE II,Remote,Campus,Applied,2024-04-12,0
39,1001,SWE II,Remote,Campus,Phone Screen,2024-04-14,0
39,1001,SWE II,Remote,Campus,Hiring Manager,2024-04-26,1
40,1001,SWE II,Remote,Agency,Applied,2024-04-21,0
40,1001,SWE II,Remote,Agency,Phone Screen,2024-04-29,0
40,1001,SWE II,Remote,Agency,Hiring Manager,2024-04-27,0
41,1001,SWE I,Seattle,Agency,Applied,2024-05-04,0
41,1001,SWE I,Seattle,Agency,Phone Screen,2024-05-09,0
41,1001,SWE I,Seattle,Agency,Hiring Manager,2024-05-08,1
41,1001,SWE I,Seattle,Agency,Onsite,2024-05-13,1
41,1001,SWE I,Seattle,Agency,Offer,2024-05-12,0
41,1001,SWE I,Seattle,Agency,Hired,2024-05-19,1
42,1001,SWE I,Austin,Agency,Applied,2024-03-24,0
42,1001,SWE I,Austin,Agency,Phone Screen,2024-04-02,1
42,1001,SWE I,Austin,Agency,Hiring Manager,2024-03-30,0
43,1001,PM,New York,Campus,Applied,2024-05-21,1
43,1001,PM,New York,Campus,Phone Screen,2024-05-31,0
44,1001,Data Analyst,New York,Referral,Applied,2024-06-13,0
45,1001,SWE I,Seattle,Agency,Applied,2024-04-03,1
45,1001,SWE I,Seattle,Agency,Phone Screen,2024-04-11,0
45,1001,SWE I,Seattle,Agency,Hiring Manager,2024-04-07,1
46,1001,SWE II,New York,LinkedIn,Applied,2024-03-18,0
46,1001,SWE II,New York,LinkedIn,Phone Screen,2024-03-25,0
47,1002,PM,Menlo Park,LinkedIn,Applied,2024-08-15,1
47,1002,PM,Menlo Park,LinkedIn,Phone Screen,2024-08-19,1
47,1002,PM,Menlo Park,LinkedIn,Hiring Manager,2024-08-31,1
